B-1 to B-20,B-21 to B-40,B-41 to B-60,B-61 to B-80,B-81 to B-100,B-101 to B-120
B-1 T,B-21 PT,B-41 BS,B-61 BS,B-81 T,B-101 BS
B-2 PT,B-22 T,B-42 PT,B-62 BS,B-82 PT,B-102 PT
B-3 BS,B-23 BS,B-43 PT,B-63 BS,B-83 T,B-103 PT
B-4 PT,B-24 BS,B-44 T,B-64 PT,B-84 T,B-104 T
B-5 BS,B-25 T,B-45 BS,B-65 BS,B-85 PT,B-105 PT
B-6 T,B-26 T,B-46 BS,B-66 PT,B-86 T,B-106 BS
B-7 BS,B-27 BS,B-47 T,B-67 PT,B-87 BS,B-107 T
B-8 BS,B-28 PT,B-48 PT,B-68 T,B-88 T,B-108 BS
B-9 T,B-29 PT,B-49 BS,B-69 PT,B-89 BS,B-109 BS
B-10 T,B-30 BS,B-50 BS,B-70 T,B-90 PT,B-110 T
B-11 PT,B-31 T,B-51 T,B-71 T,B-91 BS,B-111 PT
B-12 PT,B-32 BS,B-52 BS,B-72 BS,B-92 T,B-112 BS
B-13 T,B-33 T,B-53 BS,B-73 PT,B-93 PT,B-113 PT
B-14 BS,B-34 T,B-54 T,B-74 BS,B-94 PT,B-114 BS
B-15 T,B-35 T,B-55 BS,B-75 BS,B-95 T,B-115 BS
B-16 BS,B-36 PT,B-56 T,B-76 T,B-96 T,B-116 BS
B-17 PT,B-37 T,B-57 T,B-77 PT,B-97 PT,B-117 PT
B-18 T,B-38 PT,B-58 PT,B-78 T,B-98 BS,B-118 BS
B-19 PT,B-39 PT,B-59 PT,B-79 PT,B-99 T,B-119 BS
B-20 T,B-40 T,B-60 PT,B-80 T,B-100 PT,B-120 T
